customer_id,first_purchase_date,last_purchase_date,recency_days,frequency_orders,monetary_value_gbp,average_order_value_gbp,units_purchased,distinct_products,is_repeat_customer,r_score,f_score,m_score,rfm_score,rfm_segment,cluster_id,cluster_label
12346,2009-12-14,2011-01-18,326,12,77556.46,6463.038333333334,74285,27,True,2,5,5,12,Cannot Lose Them,1,High-Value Champions
12347,2010-10-31,2011-12-07,3,8,4921.53,615.19125,2967,126,True,5,4,5,14,Champions,1,High-Value Champions
12348,2010-09-27,2011-09-25,76,5,2019.4,403.88,2714,25,True,3,4,4,11,Loyal Customers,3,Lapsed Established Customers
12349,2010-04-29,2011-11-21,19,4,4428.69,1107.1725,1624,138,True,5,3,5,13,Potential Loyalists,2,Recent Growth Customers
12350,2011-02-02,2011-02-02,311,1,334.4,334.4,197,17,False,2,1,2,5,Hibernating,4,Dormant Low-Value Customers
12351,2010-11-29,2010-11-29,376,1,300.93,300.93,261,21,False,2,1,2,5,Hibernating,4,Dormant Low-Value Customers
12352,2010-11-12,2011-11-03,37,10,2849.84,284.98400000000004,724,70,True,4,5,4,13,Champions,1,High-Value Champions
12353,2010-10-27,2011-05-19,205,2,406.76,203.38,212,23,True,2,2,2,6,Hibernating,4,Dormant Low-Value Customers
12354,2011-04-21,2011-04-21,233,1,1079.4,1079.4,530,58,False,2,1,3,6,At Risk,4,Dormant Low-Value Customers
12355,2010-05-21,2011-05-09,215,2,947.61,473.805,543,35,True,2,2,3,7,At Risk,3,Lapsed Established Customers
12356,2010-10-11,2011-11-17,23,6,6371.73,1061.955,3416,104,True,4,4,5,13,Champions,1,High-Value Champions
12357,2010-11-16,2011-11-06,34,3,18287.66,6095.886666666666,6587,261,True,4,3,5,12,Potential Loyalists,1,High-Value Champions
12358,2009-12-08,2011-12-08,2,5,3887.07,777.414,1079,56,True,5,4,5,14,Champions,1,High-Value Champions
12359,2009-12-05,2011-10-13,58,10,8873.39,887.3389999999999,2739,305,True,4,5,5,14,Champions,1,High-Value Champions
12360,2010-02-22,2011-10-18,53,8,4252.89,531.61125,2459,160,True,4,4,5,13,Champions,1,High-Value Champions
12361,2010-01-26,2011-02-25,288,4,511.25,127.8125,235,18,True,2,3,2,7,At Risk,3,Lapsed Established Customers
12362,2009-12-01,2011-12-06,4,11,5356.23,486.92999999999995,2230,201,True,5,5,5,15,Champions,1,High-Value Champions
12363,2011-04-11,2011-08-22,110,2,552.0,276.0,408,23,True,3,2,2,7,Need Attention,4,Dormant Low-Value Customers
12364,2011-08-19,2011-12-02,8,4,1313.1,328.275,1506,70,True,5,3,4,12,Potential Loyalists,2,Recent Growth Customers
12365,2011-02-21,2011-02-21,292,2,641.38,320.69,174,22,True,2,2,3,7,At Risk,4,Dormant Low-Value Customers
12366,2010-03-16,2010-03-16,634,1,500.24,500.24,296,3,False,1,1,2,4,Hibernating,4,Dormant Low-Value Customers
12367,2011-12-05,2011-12-05,5,1,168.9,168.9,173,11,False,5,1,1,7,New Customers,2,Recent Growth Customers
12368,2010-03-21,2010-03-21,629,1,917.6999999999999,917.6999999999999,330,18,False,1,1,3,5,At Risk,4,Dormant Low-Value Customers
12369,2010-03-08,2010-10-22,414,3,1791.15,597.0500000000001,1241,90,True,1,3,4,8,At Risk,3,Lapsed Established Customers
12370,2010-02-09,2011-10-19,52,7,4316.56,616.6514285714286,2604,168,True,4,4,5,13,Champions,1,High-Value Champions
12371,2010-03-04,2011-10-26,45,5,4067.38,813.476,1436,134,True,4,4,5,13,Champions,3,Lapsed Established Customers
12372,2011-02-16,2011-09-29,72,3,1298.04,432.68,794,34,True,3,3,4,10,Need Attention,3,Lapsed Established Customers
12373,2010-02-04,2011-02-01,312,3,1127.65,375.8833333333334,516,36,True,2,3,3,8,At Risk,3,Lapsed Established Customers
12374,2010-04-30,2011-11-14,26,4,2989.2200000000003,747.3050000000001,1362,79,True,4,3,5,12,Potential Loyalists,2,Recent Growth Customers
12375,2011-09-02,2011-11-29,11,2,457.5,228.75,178,14,True,5,2,2,9,Potential Loyalists,2,Recent Growth Customers
12376,2010-10-18,2010-11-15,390,2,503.15,251.575,240,11,True,2,2,2,6,Hibernating,4,Dormant Low-Value Customers
12377,2010-04-29,2011-01-28,316,4,3426.32,856.58,2105,129,True,2,3,5,10,At Risk,3,Lapsed Established Customers
12378,2010-05-26,2011-08-02,130,2,5416.32,2708.16,3316,281,True,3,2,5,10,Need Attention,3,Lapsed Established Customers
12379,2010-06-23,2011-09-19,82,4,1620.22,405.055,815,58,True,3,3,4,10,Need Attention,3,Lapsed Established Customers
12380,2010-02-15,2011-11-18,22,11,9676.300000000001,879.6636363636364,3355,156,True,4,5,5,14,Champions,1,High-Value Champions
12381,2011-08-12,2011-12-05,5,5,1845.31,369.062,808,70,True,5,4,4,13,Champions,2,Recent Growth Customers
12383,2010-12-22,2011-06-08,185,5,1850.56,370.11199999999997,1532,84,True,3,4,4,11,Loyal Customers,3,Lapsed Established Customers
12384,2011-08-10,2011-11-11,29,2,585.27,292.635,126,26,True,4,2,2,8,Potential Loyalists,2,Recent Growth Customers
12385,2010-11-25,2010-11-25,380,1,1938.4,1938.4,612,65,False,2,1,4,7,At Risk,3,Lapsed Established Customers
12386,2010-12-08,2011-01-06,338,2,401.9,200.95,354,10,True,2,2,2,6,Hibernating,4,Dormant Low-Value Customers
12387,2010-10-20,2010-10-20,416,1,143.94,143.94,134,9,False,1,1,1,3,Hibernating,4,Dormant Low-Value Customers
12388,2010-05-06,2011-11-24,16,8,3901.11,487.63875,2001,83,True,5,4,5,14,Champions,1,High-Value Champions
12389,2010-02-22,2010-11-02,403,3,1433.33,477.77666666666664,614,41,True,2,3,4,9,At Risk,3,Lapsed Established Customers
12390,2011-09-21,2011-09-21,80,1,549.84,549.84,353,32,False,3,1,2,6,Need Attention,4,Dormant Low-Value Customers
12391,2010-02-15,2011-11-18,22,6,2724.84,454.14000000000004,1204,241,True,4,4,4,12,Champions,1,High-Value Champions
12392,2010-04-27,2010-04-27,592,1,234.75000000000003,234.75000000000003,73,7,False,1,1,1,3,Hibernating,4,Dormant Low-Value Customers
12393,2010-10-07,2011-09-28,73,6,2399.4500000000003,399.90833333333336,1311,63,True,3,4,4,11,Loyal Customers,3,Lapsed Established Customers
12394,2011-05-06,2011-10-07,64,2,1272.48,636.24,819,26,True,3,2,4,9,Need Attention,2,Recent Growth Customers
12395,2010-04-16,2011-11-20,20,15,4721.17,314.74466666666666,3205,145,True,4,5,5,14,Champions,1,High-Value Champions
12396,2010-02-03,2010-02-03,675,1,931.43,931.43,591,65,False,1,1,3,5,At Risk,4,Dormant Low-Value Customers
12397,2011-07-27,2011-11-04,36,2,2409.9,1204.95,1263,110,True,4,2,4,10,Potential Loyalists,2,Recent Growth Customers
12398,2011-10-25,2011-10-25,46,1,1635.6599999999999,1635.6599999999999,1394,85,False,4,1,4,9,New Customers,2,Recent Growth Customers
12399,2010-03-05,2011-08-12,120,7,1962.3,280.3285714285714,2198,67,True,3,4,4,11,Loyal Customers,3,Lapsed Established Customers
12400,2010-10-21,2010-10-21,415,1,205.25,205.25,91,11,False,1,1,1,3,Hibernating,4,Dormant Low-Value Customers
12401,2011-02-09,2011-02-09,304,1,84.3,84.3,11,5,False,2,1,1,4,Hibernating,4,Dormant Low-Value Customers
12402,2010-02-07,2011-01-20,324,6,1256.9,209.48333333333335,584,43,True,2,4,4,10,Cannot Lose Them,3,Lapsed Established Customers
12403,2010-07-06,2011-10-21,50,2,1019.36,509.68,260,5,True,4,2,3,9,Potential Loyalists,2,Recent Growth Customers
12404,2010-01-26,2010-01-26,683,1,63.24,63.24,1,1,False,1,1,1,3,Hibernating,4,Dormant Low-Value Customers
12405,2011-07-14,2011-07-14,149,1,1710.39,1710.39,857,54,False,3,1,4,8,Need Attention,3,Lapsed Established Customers
12406,2010-01-11,2011-11-17,23,5,6390.36,1278.072,3416,114,True,4,4,5,13,Champions,1,High-Value Champions
12407,2011-03-20,2011-10-21,50,5,1708.1200000000001,341.624,1416,57,True,4,4,4,12,Champions,3,Lapsed Established Customers
12408,2010-07-29,2011-11-07,33,8,4340.7699999999995,542.5962499999999,2229,104,True,4,4,5,13,Champions,1,High-Value Champions
12409,2010-05-23,2011-09-22,79,7,23419.29,3345.612857142857,13143,177,True,3,4,5,12,Loyal Customers,1,High-Value Champions
12410,2010-07-25,2011-02-04,309,3,1013.71,337.90333333333336,341,36,True,2,3,3,8,At Risk,3,Lapsed Established Customers
12411,2010-10-26,2010-10-26,410,1,346.9,346.9,138,22,False,2,1,2,5,Hibernating,4,Dormant Low-Value Customers
12412,2010-06-18,2011-09-26,75,6,2596.93,432.82166666666666,1997,82,True,3,4,4,11,Loyal Customers,3,Lapsed Established Customers
12413,2010-11-02,2011-10-04,67,4,999.45,249.8625,319,41,True,3,3,3,9,Need Attention,3,Lapsed Established Customers
12414,2010-09-02,2011-05-06,218,6,952.41,158.73499999999999,495,21,True,2,4,3,9,At Risk,3,Lapsed Established Customers
12415,2010-06-30,2011-11-15,25,28,144458.37,5159.2275,91447,498,True,4,5,5,14,Champions,1,High-Value Champions
12416,2010-02-21,2010-02-21,657,1,202.56,202.56,132,11,False,1,1,1,3,Hibernating,4,Dormant Low-Value Customers
12417,2009-12-06,2011-12-06,4,20,6797.41,339.8705,2884,270,True,5,5,5,15,Champions,1,High-Value Champions
12418,2010-03-19,2011-08-19,113,4,2021.2,505.3,1088,90,True,3,3,4,10,Need Attention,3,Lapsed Established Customers
12419,2010-10-22,2010-11-19,386,2,503.01,251.505,231,23,True,2,2,2,6,Hibernating,4,Dormant Low-Value Customers
12420,2011-10-07,2011-10-07,64,1,600.39,600.39,345,29,False,3,1,2,6,Need Attention,2,Recent Growth Customers
12421,2010-07-22,2011-11-24,16,6,1098.6,183.1,652,44,True,5,4,3,12,Loyal Customers,2,Recent Growth Customers
12422,2009-12-18,2011-09-05,96,17,5231.8,307.7529411764706,2596,137,True,3,5,5,13,Loyal Customers,1,High-Value Champions
12423,2010-08-31,2011-12-09,1,10,2622.39,262.239,1793,128,True,5,5,4,14,Champions,1,High-Value Champions
12424,2010-06-09,2011-06-30,163,4,3340.03,835.0075,2025,78,True,3,3,5,11,Need Attention,3,Lapsed Established Customers
12425,2010-09-17,2011-09-22,79,2,1741.41,870.705,1147,87,True,3,2,4,9,Need Attention,3,Lapsed Established Customers
12426,2010-02-15,2011-05-29,195,2,1345.21,672.605,584,73,True,2,2,4,8,At Risk,3,Lapsed Established Customers
12427,2010-12-03,2011-11-18,22,3,825.8,275.26666666666665,533,26,True,4,3,3,10,Potential Loyalists,2,Recent Growth Customers
12428,2011-03-01,2011-11-14,26,9,7956.46,884.0511111111111,3536,258,True,4,5,5,14,Champions,1,High-Value Champions
12429,2010-06-11,2011-11-30,10,8,6204.41,775.55125,2890,124,True,5,4,5,14,Champions,1,High-Value Champions
12430,2011-10-27,2011-10-27,44,1,256.4,256.4,117,11,False,4,1,1,6,New Customers,2,Recent Growth Customers
12431,2010-01-15,2011-11-04,36,27,10432.22,386.3785185185185,4600,244,True,4,5,5,14,Champions,1,High-Value Champions
12432,2011-06-20,2011-10-28,43,5,5059.32,1011.8639999999999,1801,107,True,4,4,5,13,Champions,3,Lapsed Established Customers
12433,2010-08-20,2011-12-09,1,10,16794.14,1679.414,13534,285,True,5,5,5,15,Champions,1,High-Value Champions
12434,2010-11-23,2011-09-16,85,3,1103.43,367.81,532,62,True,3,3,3,9,Need Attention,3,Lapsed Established Customers
12435,2009-12-02,2011-09-21,80,6,13925.93,2320.9883333333332,4958,88,True,3,4,5,12,Loyal Customers,1,High-Value Champions
12436,2011-09-01,2011-09-01,100,1,509.01,509.01,211,16,False,3,1,2,6,Need Attention,4,Dormant Low-Value Customers
12437,2009-12-02,2011-12-08,2,39,12683.4,325.2153846153846,8000,273,True,5,5,5,15,Champions,1,High-Value Champions
12438,2011-07-22,2011-11-25,15,2,2906.85,1453.425,1180,84,True,5,2,4,11,Potential Loyalists,2,Recent Growth Customers
12439,2009-12-14,2010-01-26,683,2,1142.88,571.44,478,69,True,1,2,3,6,At Risk,3,Lapsed Established Customers
12440,2009-12-22,2010-09-03,463,2,859.2,429.6,331,21,True,1,2,3,6,At Risk,4,Dormant Low-Value Customers
12441,2010-12-08,2010-12-08,367,1,173.55,173.55,121,11,False,2,1,1,4,Hibernating,4,Dormant Low-Value Customers
12442,2011-12-06,2011-12-06,4,1,172.06,172.06,182,12,False,5,1,1,7,New Customers,2,Recent Growth Customers
12443,2009-12-07,2009-12-07,733,1,485.31,485.31,182,21,False,1,1,2,4,Hibernating,4,Dormant Low-Value Customers
12444,2011-06-21,2011-11-18,22,5,5005.46,1001.092,1153,138,True,4,4,5,13,Champions,1,High-Value Champions
12445,2010-10-15,2011-11-17,23,2,434.98,217.49,206,24,True,4,2,2,8,Potential Loyalists,2,Recent Growth Customers
12446,2011-10-13,2011-10-13,58,1,1002.3100000000001,1002.3100000000001,351,57,False,4,1,3,8,New Customers,2,Recent Growth Customers
12447,2011-04-10,2011-04-10,244,1,476.49,476.49,190,26,False,2,1,2,5,Hibernating,4,Dormant Low-Value Customers
12448,2011-10-26,2011-10-26,45,1,449.45,449.45,243,22,False,4,1,2,7,New Customers,2,Recent Growth Customers
12449,2010-09-27,2011-11-17,23,6,4835.89,805.9816666666667,2282,125,True,4,4,5,13,Champions,1,High-Value Champions
12450,2010-08-22,2011-07-06,157,5,688.2,137.64000000000001,442,31,True,3,4,3,10,Loyal Customers,3,Lapsed Established Customers
12451,2010-06-28,2011-11-29,11,8,12669.88,1583.735,9359,352,True,5,4,5,14,Champions,1,High-Value Champions
12452,2011-11-23,2011-11-23,17,2,430.57,215.285,185,21,True,5,2,2,9,Potential Loyalists,2,Recent Growth Customers
12453,2011-07-28,2011-07-28,135,1,707.09,707.09,473,43,False,3,1,3,7,Need Attention,4,Dormant Low-Value Customers
12454,2010-10-14,2011-10-14,57,5,16679.78,3335.9559999999997,7703,24,True,4,4,5,13,Champions,1,High-Value Champions
12455,2009-12-18,2011-09-27,74,10,5879.95,587.995,3302,199,True,3,5,5,13,Loyal Customers,1,High-Value Champions
12456,2011-03-30,2011-10-26,45,3,3181.04,1060.3466666666666,1633,105,True,4,3,5,12,Potential Loyalists,3,Lapsed Established Customers
12457,2010-09-30,2011-10-04,67,8,2995.91,374.48875,1094,63,True,3,4,5,12,Loyal Customers,3,Lapsed Established Customers
12458,2010-08-09,2011-09-29,72,4,1777.49,444.3725,986,71,True,3,3,4,10,Need Attention,3,Lapsed Established Customers
12459,2010-04-13,2010-04-13,606,1,454.36,454.36,258,23,False,1,1,2,4,Hibernating,4,Dormant Low-Value Customers
12460,2010-09-09,2010-09-09,457,1,326.65,326.65,170,18,False,1,1,2,4,Hibernating,4,Dormant Low-Value Customers
12461,2011-07-08,2011-09-06,95,2,826.88,413.44,287,35,True,3,2,3,8,Need Attention,3,Lapsed Established Customers
12462,2011-02-09,2011-11-21,19,2,1189.59,594.795,536,51,True,5,2,3,10,Potential Loyalists,2,Recent Growth Customers
12463,2011-04-12,2011-10-17,54,4,1344.78,336.195,776,65,True,4,3,4,11,Potential Loyalists,3,Lapsed Established Customers
12464,2011-02-03,2011-11-29,11,8,1212.05,151.50625,112,6,True,5,4,3,12,Loyal Customers,2,Recent Growth Customers
12465,2011-06-23,2011-11-22,18,2,742.1899999999999,371.09499999999997,479,46,True,5,2,3,10,Potential Loyalists,2,Recent Growth Customers
12466,2010-01-26,2010-01-26,683,1,56.73,56.73,1,1,False,1,1,1,3,Hibernating,4,Dormant Low-Value Customers
12467,2010-10-12,2010-10-12,424,1,132.8,132.8,129,9,False,1,1,1,3,Hibernating,4,Dormant Low-Value Customers
12468,2010-01-26,2011-06-05,188,5,3670.74,734.1479999999999,2201,127,True,3,4,5,12,Loyal Customers,3,Lapsed Established Customers
12469,2010-06-21,2010-07-05,523,2,3070.54,1535.27,2552,76,True,1,2,5,8,At Risk,3,Lapsed Established Customers
12470,2010-01-19,2010-01-19,690,1,211.95,211.95,95,23,False,1,1,1,3,Hibernating,4,Dormant Low-Value Customers
12471,2009-12-07,2011-12-07,3,79,39918.19,505.2935443037975,16858,255,True,5,5,5,15,Champions,1,High-Value Champions
12472,2009-12-14,2011-11-07,33,19,16249.289999999999,855.2257894736841,10378,397,True,4,5,5,14,Champions,1,High-Value Champions
12473,2011-06-01,2011-11-10,30,5,3928.0499999999997,785.6099999999999,2414,140,True,4,4,5,13,Champions,1,High-Value Champions
12474,2010-02-11,2011-11-22,18,31,12372.75,399.1209677419355,7940,369,True,5,5,5,15,Champions,1,High-Value Champions
12475,2010-10-26,2011-10-17,54,2,1149.64,574.82,771,54,True,4,2,3,9,Potential Loyalists,2,Recent Growth Customers
12476,2010-07-26,2011-11-24,16,23,14083.91,612.3439130434782,5631,358,True,5,5,5,15,Champions,1,High-Value Champions
12477,2010-03-26,2011-11-17,23,9,20276.37,2252.93,6119,295,True,4,5,5,14,Champions,1,High-Value Champions
12478,2011-12-06,2011-12-06,4,1,680.99,680.99,236,36,False,5,1,3,9,New Customers,2,Recent Growth Customers
12479,2011-11-28,2011-11-28,12,1,527.2,527.2,385,31,False,5,1,2,8,New Customers,2,Recent Growth Customers
12480,2010-07-20,2011-11-11,29,7,5464.85,780.6928571428572,2952,177,True,4,4,5,13,Champions,1,High-Value Champions
12481,2010-04-11,2011-11-17,23,15,12185.51,812.3673333333334,7158,248,True,4,5,5,14,Champions,1,High-Value Champions
12482,2010-02-24,2010-05-12,577,29,23691.4,816.944827586207,27042,42,True,1,5,5,11,Cannot Lose Them,1,High-Value Champions
12483,2010-01-31,2011-11-22,18,19,5097.18,268.27263157894737,2160,68,True,5,5,5,15,Champions,1,High-Value Champions
12484,2010-01-27,2011-11-07,33,12,6354.1,529.5083333333333,3266,329,True,4,5,5,14,Champions,1,High-Value Champions
