month_start,country,revenue_gbp,orders,units_sold,identified_customers
2009-12-01,United Kingdom,747397.29,1595,386352,904
2009-12-01,EIRE,20099.74,20,9414,2
2009-12-01,Netherlands,15204.73,6,10822,2
2009-12-01,Germany,9830.27,18,4774,10
2009-12-01,Spain,7950.18,5,3279,4
2009-12-01,France,6521.69,13,3688,10
2009-12-01,Cyprus,3541.6800000000003,4,1572,3
2009-12-01,Portugal,2821.58,2,1575,2
2009-12-01,Austria,1998.3400000000001,2,564,2
2009-12-01,Denmark,1437.66,2,574,2
2009-12-01,Channel Islands,989.18,1,439,1
2009-12-01,Greece,610.95,1,441,1
2009-12-01,Switzerland,589.4,1,220,1
2009-12-01,Finland,549.08,1,134,1
2009-12-01,United Arab Emirates,517.7,1,520,1
2009-12-01,Norway,485.31,1,182,1
2009-12-01,Belgium,447.6,3,153,2
2009-12-01,Italy,422.35,1,157,1
2009-12-01,Poland,371.82,1,266,1
2009-12-01,Sweden,285.29999999999995,1,174,1
2009-12-01,Australia,271.1,2,160,2
2009-12-01,USA,141.0,1,1,1
2010-01-01,United Kingdom,510245.922,998,256706,663
2010-01-01,EIRE,65258.43,32,30809,5
2010-01-01,Netherlands,29230.77,6,20531,3
2010-01-01,Germany,12562.11,21,6321,13
2010-01-01,France,8465.63,12,5313,9
2010-01-01,Denmark,7870.6,2,63754,2
2010-01-01,Greece,4798.35,3,1573,2
2010-01-01,Spain,4179.59,9,1193,6
2010-01-01,USA,2289.59,5,1344,2
2010-01-01,Sweden,1680.15,3,1537,2
2010-01-01,Belgium,1634.02,4,717,3
2010-01-01,Unspecified,1035.1,2,382,2
2010-01-01,Channel Islands,838.75,1,193,1
2010-01-01,Finland,801.42,2,263,2
2010-01-01,Portugal,117.72,1,1,1
2010-01-01,Cyprus,76.52000000000001,1,32,1
2010-01-01,Italy,39.67,1,1,1
2010-01-01,Nigeria,27.82,1,1,1
2010-01-01,Japan,2.95,1,1,1
2010-02-01,United Kingdom,452927.706,1093,242725,713
2010-02-01,EIRE,21538.8,18,11631,3
2010-02-01,Denmark,19809.899999999998,2,93230,1
2010-02-01,Netherlands,17255.39,8,9883,2
2010-02-01,Germany,9124.25,27,4789,18
2010-02-01,France,9024.16,17,4996,12
2010-02-01,Sweden,8202.58,7,8497,3
2010-02-01,Belgium,3209.0,3,704,2
2010-02-01,United Arab Emirates,2822.0,4,1723,1
2010-02-01,Malta,1636.38,2,606,1
2010-02-01,Austria,1118.8600000000001,3,480,3
2010-02-01,Australia,1029.66,3,624,3
2010-02-01,RSA,931.43,1,591,1
2010-02-01,Cyprus,750.49,2,294,1
2010-02-01,Spain,554.04,4,279,3
2010-02-01,Switzerland,477.68,1,306,1
2010-02-01,Portugal,458.83000000000004,3,245,2
2010-02-01,Bahrain,439.85,1,159,0
2010-02-01,Japan,193.72,2,117,2
2010-03-01,United Kingdom,718946.791,1549,404931,984
2010-03-01,Netherlands,24447.98,15,16662,4
2010-03-01,EIRE,22989.46,27,14797,3
2010-03-01,Germany,16698.08,28,8883,19
2010-03-01,Norway,13916.34,2,2,1
2010-03-01,France,8637.79,16,4541,12
2010-03-01,Denmark,7595.18,2,64302,2
2010-03-01,Cyprus,2879.19,5,1055,4
2010-03-01,Portugal,2519.05,2,1349,2
