order_id,order_date,month_start,customer_id,country,order_revenue_gbp,units_sold,distinct_products,line_count,is_identified_customer
489434,2009-12-01,2009-12-01,13085,United Kingdom,505.3,166,8,8,True
489435,2009-12-01,2009-12-01,13085,United Kingdom,145.79999999999998,60,4,4,True
489436,2009-12-01,2009-12-01,13078,United Kingdom,630.33,193,19,19,True
489437,2009-12-01,2009-12-01,15362,United Kingdom,310.75,145,23,23,True
489438,2009-12-01,2009-12-01,18102,United Kingdom,2286.24,826,17,17,True
489439,2009-12-01,2009-12-01,12682,France,426.3,219,19,19,True
489440,2009-12-01,2009-12-01,18087,United Kingdom,50.4,16,2,2,True
489441,2009-12-01,2009-12-01,18087,United Kingdom,344.34000000000003,102,4,4,True
489442,2009-12-01,2009-12-01,13635,United Kingdom,382.37,275,23,23,True
489443,2009-12-01,2009-12-01,14110,United Kingdom,285.06,120,7,7,True
489444,2009-12-01,2009-12-01,12636,USA,141.0,1,1,1,True
489445,2009-12-01,2009-12-01,17519,United Kingdom,308.44,280,19,19,True
489446,2009-12-01,2009-12-01,13758,United Kingdom,996.1,382,27,27,True
489447,2009-12-01,2009-12-01,12362,Belgium,130.0,1,1,1,True
489448,2009-12-01,2009-12-01,15413,United Kingdom,570.24,192,4,4,True
489450,2009-12-01,2009-12-01,16321,Australia,196.1,100,9,9,True
489460,2009-12-01,2009-12-01,16167,United Kingdom,485.79,977,15,15,True
489461,2009-12-01,2009-12-01,17865,United Kingdom,589.33,379,26,26,True
489462,2009-12-01,2009-12-01,17592,United Kingdom,148.3,38,13,13,True
489465,2009-12-01,2009-12-01,13767,United Kingdom,1197.8000000000002,408,19,19,True
489488,2009-12-01,2009-12-01,17238,United Kingdom,251.1,80,29,30,True
489505,2009-12-01,2009-12-01,15712,United Kingdom,255.5,64,10,10,True
489514,2009-12-01,2009-12-01,15311,United Kingdom,823.02,326,32,32,True
489517,2009-12-01,2009-12-01,16329,United Kingdom,250.06,114,28,30,True
489519,2009-12-01,2009-12-01,17700,United Kingdom,696.73,247,38,38,True
489520,2009-12-01,2009-12-01,14911,EIRE,733.63,293,30,30,True
489522,2009-12-01,2009-12-01,15998,United Kingdom,700.31,409,104,104,True
489523,2009-12-01,2009-12-01,12931,United Kingdom,1160.0,800,1,1,True
489525,2009-12-01,2009-12-01,,United Kingdom,1.4,2,2,2,False
489526,2009-12-01,2009-12-01,12533,Germany,929.92,484,44,44,True
489529,2009-12-01,2009-12-01,17984,United Kingdom,212.63,187,45,47,True
489531,2009-12-01,2009-12-01,14871,United Kingdom,145.0,54,14,14,True
489532,2009-12-01,2009-12-01,13394,United Kingdom,304.53000000000003,353,20,20,True
489533,2009-12-01,2009-12-01,16011,United Kingdom,181.5,60,19,20,True
489536,2009-12-01,2009-12-01,16393,United Kingdom,341.02,199,107,115,True
489537,2009-12-01,2009-12-01,14040,United Kingdom,633.33,250,58,59,True
489539,2009-12-01,2009-12-01,15061,United Kingdom,2887.14,1598,17,17,True
489540,2009-12-01,2009-12-01,12913,United Kingdom,537.96,188,5,5,True
489542,2009-12-01,2009-12-01,15061,United Kingdom,387.6,264,2,2,True
489544,2009-12-01,2009-12-01,14341,United Kingdom,281.82,226,14,14,True
489545,2009-12-01,2009-12-01,17804,United Kingdom,124.95,92,32,32,True
489546,2009-12-01,2009-12-01,14156,EIRE,584.5,212,33,33,True
489547,2009-12-01,2009-12-01,13599,United Kingdom,641.45,595,22,22,True
489548,2009-12-01,2009-12-01,,United Kingdom,382.41,249,49,51,False
489550,2009-12-01,2009-12-01,14156,EIRE,482.3,232,23,23,True
489552,2009-12-01,2009-12-01,17063,United Kingdom,278.61,129,25,25,True
489556,2009-12-01,2009-12-01,15719,United Kingdom,377.15,174,56,58,True
489557,2009-12-01,2009-12-01,12490,France,603.94,442,21,21,True
489558,2009-12-01,2009-12-01,15793,United Kingdom,291.58000000000004,154,4,4,True
489559,2009-12-01,2009-12-01,17056,United Kingdom,128.60000000000002,26,8,8,True
489560,2009-12-01,2009-12-01,13526,United Kingdom,859.0999999999999,1585,26,30,True
489561,2009-12-01,2009-12-01,14654,United Kingdom,246.86,273,27,27,True
489562,2009-12-01,2009-12-01,17998,United Kingdom,229.6,107,39,39,True
489564,2009-12-01,2009-12-01,13526,United Kingdom,322.9,326,11,14,True
489566,2009-12-01,2009-12-01,17742,United Kingdom,218.55,35,8,8,True
489567,2009-12-01,2009-12-01,15326,United Kingdom,307.8,150,20,20,True
489569,2009-12-01,2009-12-01,14478,United Kingdom,282.28,312,18,18,True
489571,2009-12-01,2009-12-01,15967,United Kingdom,156.71,50,30,30,True
489572,2009-12-01,2009-12-01,17611,United Kingdom,507.49,273,83,83,True
489573,2009-12-01,2009-12-01,15051,United Kingdom,580.02,306,32,32,True
489574,2009-12-01,2009-12-01,13097,United Kingdom,544.73,309,63,64,True
