month_start,stock_code,description,revenue_gbp,units_sold,orders,identified_customers
2009-12-01,DOT,DOTCOM POSTAGE,18574.58,49,49,0
2009-12-01,85123A,WHITE HANGING HEART T-LIGHT HOLDER,17255.35,6406,304,220
2009-12-01,22086,PAPER CHAIN KIT 50'S CHRISTMAS,10169.36,3362,184,111
2009-12-01,15056BL,EDWARDIAN PARASOL BLACK,8671.75,2188,69,48
2009-12-01,22111,SCOTTIE DOG HOT WATER BOTTLE,8027.76,1561,218,151
2009-12-01,84879,ASSORTED COLOUR BIRD ORNAMENT,7623.93,4642,107,85
2009-12-01,85099B,JUMBO BAG RED WHITE SPOTTY,6701.5,3771,135,108
2009-12-01,79323W,WHITE CHERRY LIGHTS,6408.42,1074,116,76
2009-12-01,22114,HOT WATER BOTTLE TEA AND SYMPATHY,6322.750000000001,1535,197,121
2009-12-01,20679,EDWARDIAN PARASOL RED,6205.2,1683,53,31
2009-12-01,85014B,RED/WHITE DOTS RUFFLED UMBRELLA,6083.95,1603,98,69
2009-12-01,15056N,EDWARDIAN PARASOL NATURAL,5992.95,1644,49,32
2009-12-01,85014A,BLACK/BLUE DOTS RUFFLED UMBRELLA,5386.6,1489,75,46
2009-12-01,22112,CHOCOLATE HOT WATER BOTTLE,5360.3,1073,157,96
2009-12-01,72756,FAIRY CAKE CANDLES,5265.78,3882,118,108
2009-12-01,79323P,PINK CHERRY LIGHTS,4956.56,808,99,61
2009-12-01,37503,TEA TIME CAKE STAND IN GIFT BOX,4647.2,434,74,50
2009-12-01,21485,RED SPOT HEART HOT WATER BOTTLE,4641.35,968,159,114
2009-12-01,21843,RETRO SPOT CAKE STAND,4621.5,405,99,65
2009-12-01,85014D,PINK/BROWN DOTS RUFFLED UMBRELLA,4422.8,1319,44,37
2009-12-01,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,4354.73,1907,44,22
2009-12-01,21232,STRAWBERRY CERAMIC TRINKET BOX,4346.58,3358,168,105
2009-12-01,84029E,RED WOOLLY HOTTIE WHITE HEART.,3877.7700000000004,1156,122,74
2009-12-01,22139,RETRO SPOT TEA SET CERAMIC 11 PC,3852.54,740,158,112
2009-12-01,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,3668.57,981,129,74
2009-12-01,20685,RED SPOTTY COIR DOORMAT,3590.42,566,100,68
2009-12-01,21479,WHITE SKULL HOT WATER BOTTLE,3305.83,822,149,95
2009-12-01,22138,BAKING SET 9 PIECE RETROSPOT,3268.17,602,156,117
2009-12-01,22083,PAPER CHAIN KIT RETRO SPOT,3211.6000000000004,1136,87,58
2009-12-01,84946,ANTIQUE SILVER TEA GLASS ETCHED,3061.02,2342,105,68
2009-12-01,22189,CREAM HEART CARD HOLDER,3015.36,776,91,68
2009-12-01,POST,POSTAGE,2924.95,125,42,33
2009-12-01,37449,CERAMIC CAKE STAND + HANGING CAKES,2910.95,291,58,28
2009-12-01,21733,RED HANGING HEART T-LIGHT HOLDER,2896.33,1044,107,75
2009-12-01,21217,RED SPOTTY ROUND CAKE TINS,2761.2999999999997,279,74,54
2009-12-01,21527,RETRO SPOT TRADITIONAL TEAPOT,2752.8,336,102,64
2009-12-01,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,2696.6,890,64,38
2009-12-01,21754,HOME BUILDING BLOCK WORD,2632.3700000000003,413,103,73
2009-12-01,22125,UNION JACK HOT WATER BOTTLE,2631.9,426,108,80
2009-12-01,21181,PLEASE ONE PERSON METAL SIGN,2614.8,1244,111,80
2009-12-01,48185,DOOR MAT FAIRY CAKE,2612.0,432,65,41
2009-12-01,21212,PACK OF 72 RETRO SPOT CAKE CASES,2567.25,5004,139,99
2009-12-01,48187,DOOR MAT NEW ENGLAND,2537.47,441,73,62
2009-12-01,21731,RED TOADSTOOL LED NIGHT LIGHT,2467.2,1558,71,40
2009-12-01,15056P,EDWARDIAN PARASOL PINK,2427.55,712,14,11
2009-12-01,21137,BLACK RECORD COVER FRAME,2381.41,669,28,15
2009-12-01,84997D,PINK 3 PIECE MINI DOTS CUTLERY SET,2380.55,664,64,50
2009-12-01,85099C,JUMBO BAG BAROQUE BLACK WHITE,2377.4,1348,57,49
2009-12-01,79323LP,LIGHT PINK CHERRY LIGHTS,2335.6400000000003,404,39,32
2009-12-01,20914,SET/5 RED SPOTTY LID GLASS BOWLS,2331.1800000000003,801,97,68
