customer_id,primary_country,first_purchase,last_purchase,orders,customer_revenue_gbp,units,distinct_products,average_order_value_gbp,active_span_days,is_repeat_customer
12346,United Kingdom,2009-12-14 08:34:00,2011-01-18 10:01:00,12,77556.46,74285,27,6463.038333333334,400,True
12347,Iceland,2010-10-31 14:20:00,2011-12-07 15:52:00,8,4921.53,2967,126,615.19125,402,True
12348,Finland,2010-09-27 14:59:00,2011-09-25 13:13:00,5,2019.4,2714,25,403.88,363,True
12349,Italy,2010-04-29 13:20:00,2011-11-21 09:51:00,4,4428.69,1624,138,1107.1725,571,True
12350,Norway,2011-02-02 16:01:00,2011-02-02 16:01:00,1,334.4,197,17,334.4,0,False
12351,Unspecified,2010-11-29 15:23:00,2010-11-29 15:23:00,1,300.93,261,21,300.93,0,False
12352,Norway,2010-11-12 10:20:00,2011-11-03 14:37:00,10,2849.84,724,70,284.98400000000004,356,True
12353,Bahrain,2010-10-27 12:44:00,2011-05-19 17:47:00,2,406.76,212,23,203.38,204,True
12354,Spain,2011-04-21 13:11:00,2011-04-21 13:11:00,1,1079.4,530,58,1079.4,0,False
12355,Bahrain,2010-05-21 11:59:00,2011-05-09 13:49:00,2,947.61,543,35,473.805,353,True
12356,Portugal,2010-10-11 09:42:00,2011-11-17 08:40:00,6,6371.73,3416,104,1061.955,402,True
12357,Switzerland,2010-11-16 10:05:00,2011-11-06 16:07:00,3,18287.66,6587,261,6095.886666666666,355,True
12358,Austria,2009-12-08 07:59:00,2011-12-08 10:26:00,5,3887.07,1079,56,777.414,730,True
12359,Cyprus,2009-12-05 13:32:00,2011-10-13 12:47:00,10,8873.39,2739,305,887.3389999999999,677,True
12360,Austria,2010-02-22 09:32:00,2011-10-18 15:22:00,8,4252.89,2459,160,531.61125,603,True
12361,Belgium,2010-01-26 14:37:00,2011-02-25 13:51:00,4,511.25,235,18,127.8125,395,True
12362,Belgium,2009-12-01 10:10:00,2011-12-06 15:40:00,11,5356.23,2230,201,486.92999999999995,735,True
12363,Unspecified,2011-04-11 13:29:00,2011-08-22 10:18:00,2,552.0,408,23,276.0,133,True
12364,Belgium,2011-08-19 15:24:00,2011-12-02 10:22:00,4,1313.1,1506,70,328.275,105,True
12365,Cyprus,2011-02-21 13:51:00,2011-02-21 14:04:00,2,641.38,174,22,320.69,0,True
12366,Cyprus,2010-03-16 10:28:00,2010-03-16 10:28:00,1,500.24,296,3,500.24,0,False
12367,Denmark,2011-12-05 16:48:00,2011-12-05 16:48:00,1,168.9,173,11,168.9,0,False
12368,Cyprus,2010-03-21 15:56:00,2010-03-21 15:56:00,1,917.6999999999999,330,18,917.6999999999999,0,False
12369,Austria,2010-03-08 08:09:00,2010-10-22 13:13:00,3,1791.15,1241,90,597.0500000000001,228,True
12370,Cyprus,2010-02-09 09:41:00,2011-10-19 14:51:00,7,4316.56,2604,168,616.6514285714286,617,True
12371,Switzerland,2010-03-04 18:23:00,2011-10-26 10:16:00,5,4067.38,1436,134,813.476,601,True
12372,Denmark,2011-02-16 12:46:00,2011-09-29 12:12:00,3,1298.04,794,34,432.68,225,True
12373,Austria,2010-02-04 12:08:00,2011-02-01 13:10:00,3,1127.65,516,36,375.8833333333334,362,True
