invoice_no,invoice_date,customer_id,country,order_value_gbp,units,product_lines,distinct_products
489434,2009-12-01 07:45:00,13085,United Kingdom,505.3,166,8,8
489435,2009-12-01 07:46:00,13085,United Kingdom,145.79999999999998,60,4,4
489436,2009-12-01 09:06:00,13078,United Kingdom,630.33,193,19,19
489437,2009-12-01 09:08:00,15362,United Kingdom,310.75,145,23,23
489438,2009-12-01 09:24:00,18102,United Kingdom,2286.24,826,17,17
489439,2009-12-01 09:28:00,12682,France,426.3,219,19,19
489440,2009-12-01 09:43:00,18087,United Kingdom,50.4,16,2,2
489441,2009-12-01 09:44:00,18087,United Kingdom,344.34000000000003,102,4,4
489442,2009-12-01 09:46:00,13635,United Kingdom,382.37,275,23,23
489443,2009-12-01 09:50:00,14110,United Kingdom,285.06,120,7,7
489444,2009-12-01 09:55:00,12636,USA,141.0,1,1,1
489445,2009-12-01 09:57:00,17519,United Kingdom,308.44,280,19,19
489446,2009-12-01 10:06:00,13758,United Kingdom,996.1,382,27,27
489447,2009-12-01 10:10:00,12362,Belgium,130.0,1,1,1
489448,2009-12-01 10:18:00,15413,United Kingdom,570.24,192,4,4
489450,2009-12-01 10:36:00,16321,Australia,196.10000000000002,100,9,9
489460,2009-12-01 10:46:00,16167,United Kingdom,485.79,977,15,15
489461,2009-12-01 10:49:00,17865,United Kingdom,589.33,379,26,26
489462,2009-12-01 10:49:00,17592,United Kingdom,148.3,38,13,13
489465,2009-12-01 10:52:00,13767,United Kingdom,1197.8000000000002,408,19,19
489488,2009-12-01 10:59:00,17238,United Kingdom,251.1,80,30,29
489505,2009-12-01 11:17:00,15712,United Kingdom,255.5,64,10,10
489514,2009-12-01 11:21:00,15311,United Kingdom,823.02,326,32,32
489517,2009-12-01 11:34:00,16329,United Kingdom,250.06,114,30,28
489519,2009-12-01 11:37:00,17700,United Kingdom,696.73,247,38,38
489520,2009-12-01 11:41:00,14911,EIRE,733.63,293,30,30
489522,2009-12-01 11:45:00,15998,United Kingdom,700.31,409,104,104
489523,2009-12-01 11:46:00,12931,United Kingdom,1160.0,800,1,1
489525,2009-12-01 11:49:00,,United Kingdom,1.4,2,2,2
489526,2009-12-01 11:50:00,12533,Germany,929.92,484,44,44
489529,2009-12-01 11:51:00,17984,United Kingdom,212.63,187,47,45
489531,2009-12-01 11:57:00,14871,United Kingdom,145.0,54,14,14
489532,2009-12-01 11:58:00,13394,United Kingdom,304.53000000000003,353,20,20
489533,2009-12-01 12:02:00,16011,United Kingdom,181.5,60,20,19
489536,2009-12-01 12:13:00,16393,United Kingdom,341.02,199,115,107
489537,2009-12-01 12:14:00,14040,United Kingdom,633.33,250,59,58
489539,2009-12-01 12:18:00,15061,United Kingdom,2887.14,1598,17,17
489540,2009-12-01 12:18:00,12913,United Kingdom,537.96,188,5,5
489542,2009-12-01 12:19:00,15061,United Kingdom,387.6,264,2,2
489544,2009-12-01 12:20:00,14341,United Kingdom,281.82,226,14,14
489545,2009-12-01 12:22:00,17804,United Kingdom,124.95,92,32,32
489546,2009-12-01 12:30:00,14156,EIRE,584.5,212,33,33
489547,2009-12-01 12:30:00,13599,United Kingdom,641.45,595,22,22
489548,2009-12-01 12:32:00,,United Kingdom,382.40999999999997,249,51,49
489550,2009-12-01 12:33:00,14156,EIRE,482.3,232,23,23
489552,2009-12-01 12:36:00,17063,United Kingdom,278.61,129,25,25
489556,2009-12-01 12:47:00,15719,United Kingdom,377.15,174,58,56
