stock_code,units_sold,revenue_gbp,orders,identified_customers,description,revenue_share_pct
M,9629,339226.24,784,438,Manual,1.656680627116821
22423,26478,330590.32,3918,1314,REGENCY CAKESTAND 3 TIER,1.614505347983548
DOT,1415,309854.11,1415,1,DOTCOM POSTAGE,1.5132358312538692
85123A,94203,257724.71,5365,1490,CREAM HANGING HEART T-LIGHT HOLDER,1.2586512593669077
85099B,96757,180569.34,3989,978,JUMBO BAG RED RETROSPOT,0.8818472516432411
23843,80995,168469.6,1,1,"PAPER CRAFT , LITTLE BIRDIE",0.8227557000841681
47566,28200,148318.28,2674,894,PARTY BUNTING,0.7243426131283013
84879,80082,129324.49,2807,1010,ASSORTED COLOUR BIRD ORNAMENT,0.6315825603431005
POST,5363,125682.42,1851,405,POSTAGE,0.6137957676362528
22086,35084,117760.29000000001,2018,896,PAPER CHAIN KIT 50'S CHRISTMAS,0.5751064277535214
23166,78033,81700.92000000001,247,138,MEDIUM CERAMIC TOP STORAGE JAR,0.39900312953862666
79321,15841,80540.88,1135,304,CHILLI LIGHTS,0.39333783727031446
22197,88499,79520.2,2322,601,POPCORN HOLDER,0.3883531380250981
22386,39437,76324.62,2245,601,JUMBO BAG PINK POLKADOT,0.3727468704250387
84347,31409,71300.4,756,300,ROTATING SILVER ANGELS T-LIGHT HLDR,0.3482100659007988
20725,40317,71106.29,3056,845,LUNCH BAG RED RETROSPOT,0.3472620900704808
85099F,36860,67985.77,1830,549,JUMBO BAG STRAWBERRY,0.3320223933107886
48138,10077,67010.31,1664,678,DOORMAT UNION FLAG,0.32725853517137293
23084,30739,66870.03,994,450,RABBIT NIGHT LIGHT,0.326573449140375
20685,9783,66417.47,1725,626,DOORMAT RED RETROSPOT,0.3243632799488408
21137,18739,65189.29,634,198,BLACK RECORD COVER FRAME,0.3183652120735127
21843,6128,64918.299999999996,1527,599,RED RETROSPOT CAKE STAND,0.31704177706110803
21931,29182,61537.55,2329,546,JUMBO STORAGE BAG SUKI,0.3005311939466497
