stock_code,returned_units,signed_return_value_gbp,return_invoices,description,absolute_return_value_gbp
M,5445,-422552.57,496,Manual,422552.57
AMAZONFEE,33,-241988.3,33,AMAZON FEE,241988.3
23843,80995,-168469.6,1,"PAPER CRAFT , LITTLE BIRDIE",168469.6
23166,74494,-77479.64,10,MEDIUM CERAMIC TOP STORAGE JAR,77479.64
BANK CHARGES,76,-36001.49,62,Bank Charges,36001.49
22423,1799,-16545.3,352,REGENCY CAKESTAND 3 TIER,16545.3
POST,302,-15252.01,226,POSTAGE,15252.01
D,3064,-13277.52,146,Discount,13277.52
85123A,4085,-9387.1,136,WHITE HANGING HEART T-LIGHT HOLDER,9387.1
CRUK,16,-7933.43,16,CRUK Commission,7933.43
71477,3240,-7164.12,71,COLOURED GLASS STAR T-LIGHT HOLDER,7164.12
21108,3159,-6614.370000000001,4,FAIRY CAKE FLANNEL ASSORTED COLOUR,6614.370000000001
79323W,6054,-6421.1,126,"Unsaleable, destroyed.",6421.1
S,98,-6127.96,34,SAMPLES,6127.96
21843,696,-5270.25,158,RED RETROSPOT CAKE STAND,5270.25
84078A,169,-5187.650000000001,22,SET/4 WHITE RETRO STORAGE CUBES,5187.650000000001
23113,2386,-4803.0599999999995,7,PANTRY CHOPPING BOARD,4803.0599999999995
48185,749,-4678.68,9,DOORMAT FAIRY CAKE,4678.68
47566B,5003,-4490.5,16,TEA TIME PARTY BUNTING,4490.5
22138,2994,-4052.9500000000003,211,BAKING SET 9 PIECE RETROSPOT,4052.9500000000003
79323P,2914,-4021.35,88,"Unsaleable, destroyed.",4021.35
21175,2753,-3785.58,14,GIN + TONIC DIET METAL SIGN,3785.58
85220,2789,-3645.6499999999996,3,Unknown product,3645.6499999999996
22273,1500,-3562.7999999999997,9,FELTCRAFT DOLL MOLLY,3562.7999999999997
20971,2571,-2739.3199999999997,12,PINK BLUE FELT CRAFT TRINKET BOX,2739.3199999999997
22191,362,-2703.8500000000004,24,IVORY DINER WALL CLOCK,2703.8500000000004
79323LP,3084,-2702.8,61,"Unsaleable, destroyed.",2702.8
21735,479,-2535.6,40,damages,2535.6
79341,1488,-2519.6000000000004,25,"Unsaleable, destroyed.",2519.6000000000004
22656,39,-2368.5,15,VINTAGE BLUE KITCHEN CABINET,2368.5
22655,42,-2320.5,12,VINTAGE RED KITCHEN CABINET,2320.5
21314,1228,-2296.8,66,SMALL GLASS HEART TRINKET POT,2296.8
37449,283,-2234.15,74,CERAMIC CAKE STAND + HANGING CAKES,2234.15
85099B,2613,-2168.82,84,JUMBO BAG RED RETROSPOT,2168.82
21481,802,-2065.9,15,FAWN BLUE HOT WATER BOTTLE,2065.9
ADJUST,31,-2062.69,31,Adjustment by Peter on 24/05/2010 1,2062.69
22139,523,-2014.5,53,RETROSPOT TEA SET CERAMIC 11 PC,2014.5
22333,1326,-1947.8999999999999,22,RETROSPOT PARTY BAG + STICKER SET,1947.8999999999999
23056,789,-1859.07,8,rusty throw away,1859.07
22341,1196,-1858.1999999999998,9,LOVE GARLAND PAINTED ZINC,1858.1999999999998
22328,742,-1812.4499999999998,25,ROUND SNACK BOXES SET OF 4 FRUITS,1812.4499999999998
20829,1094,-1801.96,14,GLITTER HANGING BUTTERFLY STRING,1801.96
22838,147,-1801.75,22,3 TIER CAKE TIN RED AND CREAM,1801.75
20727,1211,-1778.95,45,LUNCH BAG BLACK SKULL.,1778.95
22752,6224,-1761.2000000000003,26,SET 7 BABUSHKA NESTING BOXES,1761.2000000000003
22835,408,-1744.8,11,HOT WATER BOTTLE I AM SO POORLY,1744.8
82483,308,-1683.8500000000001,84,WOOD 2 DRAWER CABINET WHITE FINISH,1683.8500000000001
20728,1288,-1678.0,44,LUNCH BAG CARS BLUE,1678.0
85184D,4215,-1664.9199999999998,3,S/4 BLUE ROUND DECOUPAGE BOXES,1664.9199999999998
21380,582,-1601.7,6,WOODEN HAPPY BIRTHDAY GARLAND,1601.7
23284,240,-1601.25,8,DOORMAT KEEP CALM AND COME IN,1601.25
79323B,2046,-1557.2,53,"Unsaleable, destroyed.",1557.2
20972,1497,-1553.39,10,PINK CREAM FELT CRAFT TRINKET BOX,1553.39
23064,79,-1514.05,11,CINDERELLA CHANDELIER,1514.05
85232B,564,-1502.75,31,SET OF 3 BABUSHKA STACKING TINS,1502.75
22085,585,-1501.75,4,PAPER CHAIN KIT SKULLS,1501.75
20726,1015,-1497.95,38,LUNCH BAG WOODLAND,1497.95
22570,537,-1464.33,8,Unknown product,1464.33
22086,679,-1461.7,17,PAPER CHAIN KIT 50'S CHRISTMAS,1461.7
21731,990,-1457.8999999999999,24,RED TOADSTOOL LED NIGHT LIGHT,1457.8999999999999
22083,528,-1397.6,13,PAPER CHAIN KIT RETROSPOT,1397.6
20725,931,-1383.75,79,LUNCH BAG RED RETROSPOT,1383.75
21749,979,-1381.8999999999999,9,LARGE RED RETROSPOT WINDMILL,1381.8999999999999
21258,150,-1360.1499999999999,43,VICTORIAN SEWING BOX LARGE,1360.1499999999999
22670,1160,-1340.56,5,FRENCH WC SIGN BLUE METAL,1340.56
21527,364,-1333.48,117,RED RETROSPOT TRADITIONAL TEAPOT,1333.48
82494L,1123,-1325.85,43,WOODEN FRAME ANTIQUE WHITE,1325.85
23199,723,-1309.25,21,JUMBO BAG APPLES,1309.25
22699,491,-1295.25,62,ROSES REGENCY TEACUP AND SAUCER,1295.25
22804,760,-1294.8,12,PINK HANGING HEART T-LIGHT HOLDER,1294.8
22090,497,-1290.1499999999999,12,PAPER BUNTING RETROSPOT,1290.1499999999999
22150,764,-1264.8,9,3 STRIPEY MICE FELTCRAFT,1264.8
22178,1008,-1262.94,43,VICTORIAN GLASS HANGING T-LIGHT,1262.94
22149,750,-1244.4,24,check,1244.4
47566,1135,-1238.5500000000002,25,PARTY BUNTING,1238.5500000000002
85066,109,-1235.4,57,CREAM SWEETHEART MINI CHEST,1235.4
22776,134,-1230.35,51,SWEETHEART 3 TIER CAKE STAND,1230.35
22618,1812,-1226.07,41,"mouldy, unsaleable.",1226.07
22171,155,-1212.1,33,3 HOOK PHOTO SHELF ANTIQUE WHITE,1212.1
22992,716,-1193.4,8,REVOLVER WOODEN RULER,1193.4
22991,714,-1185.8999999999999,6,GIRAFFE WOODEN RULER,1185.8999999999999
22910,1448,-1185.6,18,PAPER CHAIN KIT VINTAGE CHRISTMAS,1185.6
21877,1276,-1176.82,24,HOME SWEET HOME MUG,1176.82
22569,429,-1170.63,6,FELTCRAFT CUSHION BUTTERFLY,1170.63
79323GR,2546,-1168.5,40,"Unsaleable, destroyed.",1168.5
22501,349,-1158.45,36,incorrectly put back into stock,1158.45
21791,1077,-1156.25,10,VINTAGE HEADS AND TAILS CARD GAME,1156.25
22617,2843,-1147.55,68,BAKING SET SPACEBOY DESIGN,1147.55
22147,984,-1142.8000000000002,14,check,1142.8000000000002
22236,1022,-1121.25,49,CAKE STAND 3 TIER MAGIC GARDEN,1121.25
22635,124,-1113.4499999999998,25,CHILDS BREAKFAST SET DOLLY GIRL,1113.4499999999998
21733,519,-1102.25,36,RED HANGING HEART T-LIGHT HOLDER,1102.25
11001,811,-1093.39,11,ASSTD DESIGN RACING CAR PEN,1093.39
15056P,313,-1091.05,9,EDWARDIAN PARASOL PINK,1091.05
