stock_code,product_description,return_invoices,returned_units,absolute_return_value_gbp
M,Manual,496,5445,422552.57
AMAZONFEE,AMAZON FEE,33,33,241988.3
23843,"PAPER CRAFT , LITTLE BIRDIE",1,80995,168469.6
23166,MEDIUM CERAMIC TOP STORAGE JAR,10,74494,77479.64
BANK CHARGES,Bank Charges,62,76,36001.49
22423,REGENCY CAKESTAND 3 TIER,352,1799,16545.3
POST,POSTAGE,226,302,15252.01
D,Discount,146,3064,13277.52
85123A,CREAM HANGING HEART T-LIGHT HOLDER,136,4085,9387.1
CRUK,CRUK Commission,16,16,7933.43
71477,COLOURED GLASS STAR T-LIGHT HOLDER,71,3240,7164.12
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,4,3159,6614.37
79323W,"Unsaleable, destroyed.",126,6054,6421.1
S,SAMPLES,34,98,6127.96
21843,RED RETROSPOT CAKE STAND,158,696,5270.25
84078A,SET/4 WHITE RETRO STORAGE CUBES,22,169,5187.65
23113,PANTRY CHOPPING BOARD,7,2386,4803.06
48185,DOORMAT FAIRY CAKE,9,749,4678.68
47566B,TEA TIME PARTY BUNTING,16,5003,4490.5
22138,BAKING SET 9 PIECE RETROSPOT,211,2994,4052.95
